report_id,district,date_of_report,victim_age,victim_gender,reporter_type,description,abuse_types,risk_level,follow_up_required,case_status,urban_rural,Physical violence,Sexual abuse,Emotional abuse,Neglect (basic needs),Child labor,Early marriage,Exploitation,Educational deprivation,Abandonment,Cyber exploitation,follow_up_Yes,follow_up_No,follow_up_pending
25914370,Kishoreganj,12/4/2024,11,Male,Healthcare worker,"Child arranged marriage at age 13, left at home alone for weeks. Family denies allegations.","Early marriage, Abandonment",severe,Yes,Open,Rural,0,0,0,0,0,1,0,0,1,0,1,0,0
49551801,Tangail,1/15/2024,6,Female,Relative,Child observed unexplained injuries. Corroborating evidence exists.,Physical violence,medium,No,Investigation,Rural,1,0,0,0,0,0,0,0,0,0,0,1,0
7995817,Sirajganj,5/30/2023,15,Female,Social worker,Child shows signs of withdrawal. Multiple similar reports in area.,Emotional abuse,mild,Yes,Open,Urban,0,0,1,0,0,0,0,0,0,0,1,0,0
46305185,Narsingdi,8/2/2020,7,Male,Teacher,"Child subjected to sexual exploitation, not attending school since 1 year. Family denies allegations.","Exploitation, Educational deprivation",medium,Yes,Investigation,Urban,0,0,0,0,0,0,1,1,0,0,1,0,0
3466164,Jamalpur,7/2/2022,14,Female,Healthcare worker,Child left with neighbors for weeks. Corroborating evidence exists.,Abandonment,medium,Pending,Closed,Rural,0,0,0,0,0,0,0,0,1,0,0,0,1
92753496,Noakhali,3/23/2024,4,Female,Anonymous,Child engaged in factory labor. Corroborating evidence exists.,Child labor,mild,Yes,Closed,Urban,0,0,0,0,1,0,0,0,0,0,1,0,0
46769965,Chattogram,2/15/2025,11,Female,Police,Child arranged marriage at age 14. Family denies allegations.,Early marriage,medium,Yes,Open,Urban,0,0,0,0,0,1,0,0,0,0,1,0,0
54321100,Sylhet,1/23/2025,,Female,Community leader,Child involved in sextortion. Multiple similar reports in area.,Cyber exploitation,mild,Yes,Closed,Rural,0,0,0,0,0,0,0,0,0,1,1,0,0
1609011,Netrokona,5/23/2022,11,Male,Healthcare worker,"Child subjected to forced labor, observed fractures. Family denies allegations.","Exploitation, Physical violence",severe,Pending,Closed,Urban,1,0,0,0,0,0,1,0,0,0,0,0,1
22214029,Bogra,2/18/2024,16,Male,Relative,Child arranged marriage at age 14. Case requires immediate attention.,Early marriage,medium,Yes,Closed,Urban,0,0,0,0,0,1,0,0,0,0,1,0,0
2753172,Thakurgaon,11/28/2023,10,Male,Family member (grandparent),Child involved in online harassment. Multiple similar reports in area.,Cyber exploitation,mild,Yes,Investigation,Urban,0,0,0,0,0,0,0,0,0,1,1,0,0
13183271,Natore,6/24/2023,12,Female,Family member (mother),Child reported assault. Multiple similar reports in area.,Sexual abuse,medium,Pending,Closed,Rural,0,1,0,0,0,0,0,0,0,0,0,0,1
50700119,Barguna,10/30/2022,6,Female,NGO staff,Child subjected to begging ring. Multiple similar reports in area.,Exploitation,medium,Yes,Open,Urban,0,0,0,0,0,0,1,0,0,0,1,0,0
60095809,Khagrachhari,11/10/2024,,Female,Social worker,Child observed unexplained injuries. Case requires immediate attention.,Physical violence,medium,No,Open,Rural,1,0,0,0,0,0,0,0,0,0,0,1,0
